Owner,Address,Eircode,Location Category,Estimated Market Value,Principal Residence
Clodagh Walsh,101 Balamory Co.Mayo,X91 RY7F,Village,110021,false
Lakeisha Lazo,"Bubble Waffle Factory,20 Liffey Street,Dublin 1",D01 KP97,City,600000,false
Tito Etimiri,"Rose Garden,Childers Retail Park,Childers Road,Limerick",V94 DE09,Small Town,340000,false
Lakisha Lazo, 4 The Willows Ballyroan Portlaoise Co.Laois,R32 K8Y4,Small Town,120000,true
Clodagh Walsh,55 College Court Castletroy Co.Limerick,V94 LM051,Large Town,100000,true
Tito Etimiri,1 Lavagh Kilnaleck Co.Cavan,A82 W2C2,Countryside,300000,true
Clodagh Walsh,Farmville Fermoy Co.Cork,T12 CS02,Village,250000,true
Tito Etimiri,Kerry Edge Cottage Caherdaniel Co.Kerry,V92 AZ26,Small Town,80000,true
Lakeisha Lazo,Dublin Road Lucan Co.Dublin,D01 LL18,City,700000,false
Mary Drake,"""Lakeview"", Killarney Co.Kerry",V92 CW17,Countryside,155000,true
