Owner_id,Address,Eircode,Location Category,Estimated Market Value,Principal Residence
1000,101 Balamory Co.Mayo,X91 RY7F,Village,110021,false
1001,"Bubble Waffle Factory,20 Liffey Street,Dublin 1",D01 KP97,City,600000,false
1002,"Rose Garden,Childers Retail Park,Childers Road,Limerick",V94 DE09,Small Town,340000,false
1001,4 The Willows Ballyroan Portlaoise Co.Laois,R32 K8Y4,Small Town,120000,true
1000,55 College Court Castletroy Co.Limerick,V94 LM051,Large Town,100000,true
1002,1 Lavagh Kilnaleck Co.Cavan,A82 W2C2,Countryside,300000,true
1000,Farmville Fermoy Co.Cork,T12 CS02,Village,250000,true
1002,Kerry Edge Cottage Caherdaniel Co.Kerry,V92 AZ26,Small Town,80000,true
1001,Dublin Road Lucan Co.Dublin,D01 LL18,City,700000,false
1003,"""Lakeview"", Killarney Co.Kerry",V92 CW17,Countryside,155000,true
