"Address","Eircode","Owner_id","Year","Tax","Paid"
"101 Balamory Co.Mayo","X91 RY7F","1000","2019","250","false"
"101 Balamory Co.Mayo","X91 RY7F","1000","2020","500","false"
"Bubble Waffle Factory,20 Liffey Street,Dublin 1","D01 KP97","1001","2018","12300","false"
"Bubble Waffle Factory,20 Liffey Street,Dublin 1","D01 KP97","1001","2019","25461","false"
"Bubble Waffle Factory,20 Liffey Street,Dublin 1","D01 KP97","1001","2020","8888","false"
"Rose Garden,Childers Retail Park,Childers Road,Limerick","V94 DE09","1002","2019","3660","false"
"Rose Garden,Childers Retail Park,Childers Road,Limerick","V94 DE09","1002","2020","123","false"
"4 The Willows Ballyroan Portlaoise Co.Laois","R32 K8Y4","1001","2019","160","true"
"4 The Willows Ballyroan Portlaoise Co.Laois","R32 K8Y4","1001","2020","440","false"
"55 College Court Castletroy Co.Limerick","V94 LM051","1000","2019","180","false"
"55 College Court Castletroy Co.Limerick","V94 LM051","1000","2020","180","true"
"1 Lavagh Kilnaleck Co.Cavan","A82 W2C2","1002","2018","3125","false"
"1 Lavagh Kilnaleck Co.Cavan","A82 W2C2","1002","2019","6468.75","true"
"1 Lavagh Kilnaleck Co.Cavan","A82 W2C2","1002","2020","589","false"
"Farmville Fermoy Co.Cork","T12 CS02","1000","2018","2650","false"
"Farmville Fermoy Co.Cork","T12 CS02","1000","2019","5485.5","false"
"Farmville Fermoy Co.Cork","T12 CS02","1000","2020","6500","false"
"Kerry Edge Cottage Caherdaniel Co.Kerry","V92 AZ26","1002","2019","160","true"
"Kerry Edge Cottage Caherdaniel Co.Kerry","V92 AZ26","1002","2020","78965","false"
"Dublin Road Lucan Co.Dublin","D01 LL18","1001","2019","28300","true"
"Dublin Road Lucan Co.Dublin","D01 LL18","1001","2020","4545","false"
"""Lakeview"", Killarney Co.Kerry","V92 CW17","1003","2019","1675","false"
"""Lakeview"", Killarney Co.Kerry","V92 CW17","1003","2020","123","false"
